employee_id,course_name,completion_date,hours,score,mandatory
E000025,Leadership Basics,2023-04-18,2,67,True
E000086,Diversity & Inclusion,2025-11-02,4,79,False
E000031,Diversity & Inclusion,2026-04-15,4,91,False
E000081,Data Privacy,2024-05-20,16,86,True
E000055,Diversity & Inclusion,2025-08-08,16,94,True
E000023,Data Privacy,2026-05-01,16,70,True
E000032,Mine Site Safety,2023-06-01,16,94,True
E000062,Leadership Basics,2020-04-09,1,91,True
E000074,Data Privacy,2026-05-04,2,94,False
E000010,Diversity & Inclusion,2020-08-17,16,69,True
E000100,Mine Site Safety,2022-07-26,16,88,False
E000072,Data Privacy,2025-05-27,2,69,True
E000054,Safety Induction,2023-11-19,8,78,False
E000052,Data Privacy,2025-12-16,2,87,True
E000020,Data Privacy,2025-04-27,16,80,False
E000032,Mine Site Safety,2026-01-25,1,79,False
E000014,Data Privacy,2025-08-26,4,77,True
E000050,Leadership Basics,2023-05-21,4,80,True
E000028,Safety Induction,2025-04-03,4,84,True
E000053,Leadership Basics,2025-05-02,4,60,True
E000024,Mine Site Safety,2026-06-14,1,74,True
E000079,Leadership Basics,2026-07-02,1,88,False
E000022,Leadership Basics,2022-05-31,8,92,True
E000030,Data Privacy,2025-03-21,8,99,False
E000063,Data Privacy,2024-08-03,8,85,True
E000004,Diversity & Inclusion,2022-07-11,2,96,False
E000077,Leadership Basics,2026-04-09,8,85,False
E000059,Mine Site Safety,2024-04-01,4,81,False
E000087,Diversity & Inclusion,2026-02-23,2,89,False
E000008,Mine Site Safety,2024-12-30,8,75,False
E000082,Data Privacy,2021-12-10,16,86,False
E000012,Safety Induction,2025-10-30,4,79,True
E000031,Safety Induction,2018-07-12,1,67,False
E000078,Diversity & Inclusion,2021-09-21,8,98,True
E000034,Mine Site Safety,2024-01-28,1,76,False
E000082,Diversity & Inclusion,2023-04-27,4,70,False
E000098,Mine Site Safety,2022-03-20,2,93,True
E000075,Leadership Basics,2024-08-31,2,91,True
E000076,Diversity & Inclusion,2024-06-15,8,62,False
E000049,Safety Induction,2025-01-09,8,82,False
E000079,Diversity & Inclusion,2026-06-22,8,69,True
E000057,Safety Induction,2025-01-24,8,72,True
E000095,Diversity & Inclusion,2025-12-02,2,81,False
E000093,Leadership Basics,2025-05-12,2,90,True
E000026,Mine Site Safety,2025-05-13,16,97,False
E000018,Data Privacy,2025-06-23,8,82,True
E000096,Leadership Basics,2026-06-24,1,93,True
E000086,Diversity & Inclusion,2025-01-10,1,77,False
E000038,Safety Induction,2023-08-24,2,74,True
E000081,Diversity & Inclusion,2018-11-12,1,91,False
E000087,Mine Site Safety,2025-09-17,2,86,True
E000088,Diversity & Inclusion,2020-05-29,1,71,True
E000050,Data Privacy,2026-03-30,8,66,True
E000008,Leadership Basics,2024-12-31,8,84,True
E000041,Diversity & Inclusion,2024-05-28,16,76,False
E000006,Data Privacy,2019-07-11,16,85,False
E000069,Mine Site Safety,2021-01-04,8,98,False
E000044,Diversity & Inclusion,2024-08-22,4,97,True
E000064,Mine Site Safety,2026-02-16,16,89,False
E000029,Data Privacy,2024-07-24,16,93,False
E000028,Diversity & Inclusion,2024-05-30,1,65,True
E000011,Data Privacy,2025-11-12,2,62,False
E000065,Mine Site Safety,2026-03-02,1,90,True
E000019,Diversity & Inclusion,2022-09-26,8,84,True
E000009,Diversity & Inclusion,2026-01-15,2,79,True
E000027,Mine Site Safety,2025-11-28,16,79,True
E000034,Safety Induction,2024-09-06,8,92,True
E000044,Diversity & Inclusion,2023-09-24,1,83,True
E000068,Leadership Basics,2024-03-28,4,82,True
E000100,Data Privacy,2019-04-12,2,72,True
E000082,Safety Induction,2018-11-13,8,84,False
