employee_id,leave_type,start_date,days,approved
E000021,Parental Leave,2025-09-25,8,True
E000086,Unpaid Leave,2025-08-09,3,True
E000045,Sick Leave,2025-02-06,7,True
E000007,Parental Leave,2025-10-05,10,False
E000081,Parental Leave,2025-10-07,2,True
E000064,Sick Leave,2025-09-22,6,True
E000064,Sick Leave,2025-04-28,1,True
E000002,Unpaid Leave,2025-09-12,3,True
E000076,Sick Leave,2025-04-30,4,True
E000042,Parental Leave,2025-04-06,7,False
E000082,Annual Leave,2025-09-13,4,True
E000054,Sick Leave,2025-08-24,6,True
E000075,Annual Leave,2025-03-07,3,True
E000016,Unpaid Leave,2025-10-13,5,False
E000018,Annual Leave,2025-07-17,13,True
E000099,Annual Leave,2025-10-14,6,False
E000059,Parental Leave,2025-01-25,4,False
E000090,Sick Leave,2025-10-27,7,True
E000016,Sick Leave,2025-08-27,12,True
E000006,Parental Leave,2025-03-28,13,True
E000057,Parental Leave,2025-05-10,11,True
E000047,Sick Leave,2025-04-13,9,True
E000048,Unpaid Leave,2025-05-26,1,True
E000042,Sick Leave,2025-04-20,3,True
E000076,Unpaid Leave,2025-11-26,3,True
E000060,Annual Leave,2025-02-06,4,True
E000077,Unpaid Leave,2025-02-25,14,False
E000004,Sick Leave,2025-04-20,6,True
E000002,Unpaid Leave,2025-08-16,5,True
E000090,Sick Leave,2025-09-21,10,True
E000059,Sick Leave,2025-03-10,9,True
E000027,Sick Leave,2025-10-27,1,True
E000027,Sick Leave,2025-06-08,10,True
E000079,Sick Leave,2025-03-23,13,True
E000072,Annual Leave,2025-04-14,4,True
E000007,Unpaid Leave,2025-08-07,5,True
E000063,Unpaid Leave,2025-01-02,1,True
E000046,Unpaid Leave,2025-10-09,10,True
E000063,Sick Leave,2025-11-03,14,True
E000012,Unpaid Leave,2025-07-13,3,True
E000013,Unpaid Leave,2025-11-17,3,True
E000043,Parental Leave,2025-03-11,11,True
E000017,Annual Leave,2025-11-05,14,True
E000063,Annual Leave,2025-04-30,12,True
E000081,Parental Leave,2025-01-25,11,True
E000036,Annual Leave,2025-04-05,5,True
E000085,Sick Leave,2025-06-13,14,True
E000008,Unpaid Leave,2025-09-17,9,True
E000069,Parental Leave,2025-04-29,6,True
E000090,Sick Leave,2025-10-25,12,True
E000080,Annual Leave,2025-05-30,10,True
E000036,Annual Leave,2025-02-23,13,True
E000028,Parental Leave,2025-07-22,10,True
E000093,Sick Leave,2025-10-19,6,True
E000047,Sick Leave,2025-05-06,8,True
E000076,Parental Leave,2025-01-01,2,False
E000030,Annual Leave,2025-04-30,14,True
E000023,Annual Leave,2025-02-02,10,True
E000016,Parental Leave,2025-03-30,14,True
E000014,Annual Leave,2025-07-11,6,True
E000074,Annual Leave,2025-03-12,13,True
E000071,Parental Leave,2025-02-01,5,True
E000052,Annual Leave,2025-05-29,7,True
E000037,Parental Leave,2025-04-10,2,True
E000029,Unpaid Leave,2025-09-25,2,True
E000067,Annual Leave,2025-06-05,10,True
E000015,Parental Leave,2025-08-12,10,True
E000100,Unpaid Leave,2025-11-02,2,True
E000047,Unpaid Leave,2025-05-27,13,True
E000046,Parental Leave,2025-04-14,12,True
E000052,Parental Leave,2025-07-07,9,True
E000019,Parental Leave,2025-02-10,7,False
E000077,Parental Leave,2025-01-10,14,True
E000021,Parental Leave,2025-07-31,12,True
E000064,Sick Leave,2025-10-24,9,True
E000037,Parental Leave,2025-11-09,5,True
E000027,Unpaid Leave,2025-04-04,5,True
E000055,Parental Leave,2025-09-24,11,True
E000029,Annual Leave,2025-01-19,7,True
E000020,Parental Leave,2025-01-31,3,True
E000025,Parental Leave,2025-06-21,13,True
E000070,Parental Leave,2025-11-23,12,True
E000063,Parental Leave,2025-02-09,13,True
E000036,Parental Leave,2025-07-12,8,True
E000002,Parental Leave,2025-10-01,4,True
E000022,Unpaid Leave,2025-11-09,13,True
E000096,Parental Leave,2025-04-01,13,True
E000016,Sick Leave,2025-02-18,12,False
E000018,Parental Leave,2025-04-06,9,True
E000069,Sick Leave,2025-11-04,6,True
E000054,Annual Leave,2025-02-18,8,True
E000100,Sick Leave,2025-09-29,1,False
E000030,Unpaid Leave,2025-06-14,14,True
E000045,Sick Leave,2025-07-05,9,True
E000019,Unpaid Leave,2025-02-19,1,True
E000087,Annual Leave,2025-09-01,14,True
E000034,Parental Leave,2025-10-01,7,True
E000013,Parental Leave,2025-07-15,5,True
E000043,Annual Leave,2025-10-27,14,True
E000062,Sick Leave,2025-05-07,12,True
E000093,Unpaid Leave,2025-08-26,9,True
E000100,Unpaid Leave,2025-07-17,11,True
E000022,Unpaid Leave,2025-05-07,8,True
E000052,Unpaid Leave,2025-02-24,1,True
E000052,Unpaid Leave,2025-03-21,2,False
E000036,Sick Leave,2025-11-04,8,True
E000073,Sick Leave,2025-04-10,7,True
E000019,Annual Leave,2025-07-07,5,True
E000038,Parental Leave,2025-01-31,2,True
E000070,Parental Leave,2025-04-29,10,True
E000079,Parental Leave,2025-06-29,12,True
