employee_id,leave_type,start_date,days,approved
E000004,Annual Leave,2025-11-16,12,True
E000045,Parental Leave,2025-03-29,4,True
E000090,Parental Leave,2025-02-06,6,True
E000028,Unpaid Leave,2025-05-12,4,False
E000096,Sick Leave,2025-04-02,3,True
E000066,Unpaid Leave,2025-01-05,13,True
E000031,Parental Leave,2025-09-07,8,True
E000003,Unpaid Leave,2025-11-08,3,True
E000008,Sick Leave,2025-07-18,7,True
E000024,Parental Leave,2025-05-04,10,False
E000015,Parental Leave,2025-03-16,2,True
E000043,Sick Leave,2025-09-14,6,True
E000031,Sick Leave,2025-05-24,1,True
E000073,Unpaid Leave,2025-03-02,3,True
E000045,Sick Leave,2025-08-28,4,True
E000066,Parental Leave,2025-10-03,7,False
E000008,Annual Leave,2025-03-02,4,True
E000071,Sick Leave,2025-05-14,6,True
E000057,Annual Leave,2025-01-02,3,True
E000080,Unpaid Leave,2025-11-13,5,False
E000099,Annual Leave,2025-10-02,13,True
E000030,Annual Leave,2025-07-06,6,False
E000074,Parental Leave,2025-10-19,4,False
E000018,Sick Leave,2025-11-17,7,True
E000069,Sick Leave,2025-07-11,12,True
E000093,Parental Leave,2025-02-09,13,True
E000039,Parental Leave,2025-06-18,11,True
E000060,Sick Leave,2025-07-03,9,True
E000098,Unpaid Leave,2025-01-13,1,True
E000043,Sick Leave,2025-05-05,3,True
E000045,Unpaid Leave,2025-08-18,3,True
E000023,Annual Leave,2025-01-28,4,True
E000069,Unpaid Leave,2025-02-22,14,False
E000094,Sick Leave,2025-08-12,6,True
E000006,Unpaid Leave,2025-01-10,5,True
E000056,Sick Leave,2025-07-21,10,True
E000004,Sick Leave,2025-03-18,9,True
E000093,Sick Leave,2025-07-22,1,True
E000023,Sick Leave,2025-01-16,10,True
E000006,Sick Leave,2025-11-20,13,True
E000032,Annual Leave,2025-06-17,4,True
E000018,Unpaid Leave,2025-02-24,5,True
E000015,Unpaid Leave,2025-01-24,1,True
E000040,Unpaid Leave,2025-01-15,10,True
E000096,Sick Leave,2025-07-11,14,True
E000073,Unpaid Leave,2025-02-20,3,True
E000074,Unpaid Leave,2025-11-25,3,True
E000084,Parental Leave,2025-04-08,11,True
E000006,Annual Leave,2025-06-09,14,True
E000063,Annual Leave,2025-03-12,12,True
E000067,Parental Leave,2025-02-04,11,True
E000011,Annual Leave,2025-09-25,5,True
E000043,Sick Leave,2025-01-26,14,True
E000017,Unpaid Leave,2025-08-23,9,True
E000096,Parental Leave,2025-03-10,6,True
E000004,Sick Leave,2025-04-06,12,True
E000063,Annual Leave,2025-09-24,10,True
E000068,Annual Leave,2025-07-30,13,True
E000081,Parental Leave,2025-08-19,10,True
E000041,Sick Leave,2025-04-10,6,True
E000083,Sick Leave,2025-05-18,8,True
E000005,Parental Leave,2025-03-28,2,False
E000032,Annual Leave,2025-01-23,14,True
E000086,Annual Leave,2025-01-20,10,True
E000070,Parental Leave,2025-11-30,14,True
E000035,Annual Leave,2025-02-14,6,True
E000022,Annual Leave,2025-07-17,13,True
E000065,Parental Leave,2025-10-14,5,True
E000084,Annual Leave,2025-06-19,7,True
E000022,Parental Leave,2025-07-18,2,True
